uk_id	ofac_id	uk_name	ofac_name	uk_address_country	ofac_address_country	uk_address_value	ofac_address_value	uk_address_postal_code	ofac_address_postal_code	name_distance	address_country_distance	address_value_distance	address_postal_code_distance	rank
12820	15909	aluminat	aluminat	iran	iran	unit 38, 5th fl, bldg no 60, golfam st, jordan, tehran	unit 38, 5th floor, no. 9, golfam avenue, africa avenue, , tehran,	19395-5716		0	0	28	1	1
12841	15585	m23	m23		congo, democratic republic of the	""	, , , , north-kivu			0	1	18	1	1
12864	15555	center to investigate organised crime	center to investigate organized crime	iran	iran	police headquarter, attar street, vanak sq, tehran	, , , tehran,			1	0	39	1	1
12981	16937	al-nusrah front	al-nusrah front			""				0	1	1	1	1
12982	16363	boko haram	boko haram	nigeria	nigeria	""	, , , ,			0	0	7	1	1
13007	16364	ansaru	ansaru	nigeria	nigeria	""	, , , ,			0	0	7	1	1
13045	17019	donbass�people's militia	donbass people's militia		ukraine	prospect zasyadko 13, donetsk	prospect zasyadko.13, , , donetsk,			1	1	6	1	1
13057	18965	state enterprise 'universal-avia'	state enterprise universal-avia		ukraine	aeroflotskaya street 5, simferopol	5, aeroflotskaya street, , , simferopol, crimea	295021	95024	2	1	14	2	1
13058	18961	resort �nizhnyaya oreanda�	resort nizhnyaya oreanda		region: crimea	house 12, resort 'nizhnyaya oreanda', oreanda, yalta	resort nizhnyaya oreanda, , , oreanda, yalta,	298658	08655	2	1	16	3	1
13078	17755	russian national commercial bank	russian national commercial bank		russia	naberezhnaja street (named after 60th anniversary of ussr), 34, simferopol	d. 9 korp. 5 ul.krasnoproletarskaya, , , moscow,	295000	127030	0	1	58	4	1
13140	16477	ansar al-sharia in tunisia	ansar al-shari'a in tunisia		tunisia	""	, , , ,			1	1	7	1	1
13141	13168	abdullah azzam brigades	abdallah azzam brigades		lebanon	""	, , , ,			1	1	7	1	1
13235	21424	organisation for technological industries	organization for technological industries	syria	syria	po box 11037, damascus	sham algadida otip box, , , damascus,		11037	1	0	24	1	1
13236	22255	syrian company for information technology	syrian company for information technology	syria	syria	po box 11037 damascus	p.o. box 11037, , , damascus,			0	0	8	1	1
13269	17150	haji basir and zarjmil company hawala	haji basir and zarjmil company hawala	pakistan	pakistan	sanatan (variant sanatin) bazaar, sanatan, bazaar street, near trench (variant tranch) road, chaman, baluchistan province	sanatan (variant sanatin) bazaar, sanatan bazaar street, near trench (variant tranch) road, chaman, balochistan province			0	0	2	1	1
13274	18431	kardiam	kardiam	belgium	belgium	antwerp	hoveniersstraat 30, box 145, , antwerp,		2018	0	0	32	1	1
13304	18631	mujahidin indonesia timor	mujahidin indonesia timur	indonesia	indonesia	""	, , , ,			1	0	7	1	1
13345	19100	lord's resistance army	lord's resistance army	central african republic	central african republic	vakaga	, , , , vakaga			0	0	8	1	1
13510	20010	khalid ibn al-walid army	khalid bin al-walid army		syria	""	yarmouk valley, , , , daraa province			2	1	36	1	1
13512	21125	selselat al-thahab	selselat al thahab	iraq	iraq	al-kadhumi complex, al-harthia, baghdad	al-kadhumi complex, al harthia, , baghdad,			1	0	4	1	1
13617	22464	al-kawthar money exchange	al-kawthar money exchange	iraq	iraq	al-qaim, al ambar province	, , , al-qa'im, al anbar province			0	0	8	1	1
13626	23763	chang an shipping & technology	chang an shipping & technology	china	china	room 2105, dl1849, trend centre, 29-31 cheung lee street, chai wan, hong kong	room 2105, dl1849, trend centre, 29-31 cheung lee street, , chai wan, hong kong			0	0	2	1	1
13700	20285	ao 'institute giprostroymost - saint-petersburg'	ao 'institute giprostroymost-saint-petersburg'	russia	russia	7, yablochkova street, st petersburg	7 yablochkova street, , , st. petersburg,	197198	197198	2	0	7	0	1
13701	20029	pjsc mostotrest	pjsc mostotrest	russia	russia	6 barklaya street, bld.5, moscow	6 barklaya str., bld. 5, , , moscow,	121087	121087	0	0	9	0	1
13764	29048	rawafed damascus private joint stock company	rawafed damascus private joint stock company	syria	syria	damascus	marota city, , , damascus,			0	0	18	1	1
13765	26894	aman damascus joint stock company	aman damascus joint stock company	syria	syria	damascus	, , , damascus,			0	0	7	1	1
13766	29043	bunyan damascus private joint stock company	bunyan damascus private joint stock company	syria	syria	damascus	marota city, eastern villas, mazeh, , damascus,		096311	0	0	39	1	1
13788	18647	isil khorasan	isil khorasan		pakistan	""	, , , ,			0	1	7	1	1
13804	4697	hizballah	hizballah			""				0	1	1	1	1
13822	24903	al qatarji company	al-qatirji company		syria	""	mazzah, , , damascus,			2	1	21	1	1
13823	28798	damascus cham holding company	damascus cham holding company		syria	""	marota city, eastern villas, mazeh, , damascus,		096311	0	1	47	1	1
13825	24546	isis in the greater sahara	isis in the greater sahara		burkina faso	""	, , , ,			0	1	7	1	1
13830	21405	jamaah ansharut daulah	jamaah ansharut daulah		indonesia	""	, , , ,			0	1	7	1	1
